authorname	interest1	interest2	interest3	interest4	interest5
Xueyi Wang	support vector machine	cloud computing	resource allocation
Mohit Jain	wireless sensor network	formal verification	feature selection
Erhard Rahm	data integration	database	big data
Thomas Marill	image processing	pattern recognition	visualization
Hang Liu	wireless network	computational model	wireless communication
Masayoshi Tomizuka	control system	dynamical system	adaptive control
Kenji Kise	computer architecture	middleware	low power electronics
Chao Sima	pattern recognition	bioinformatics	feature selection
Tim Wark	wireless sensor network	sensor network	digital signal processing
Jinman Jung	wireless sensor network	embedded system	wireless network
Zhiqiang Cao	neural networks	thin films	motion planning
Leslie P. Willcocks	information system	information technology	information management
Georgios Ellinas	wireless network	transport protocol	mesh network
Cláudio F. R. Geyer	computer network	mobile computing	grid computing
Donggang Liu	wireless sensor network	sensor network	security
Hiroaki Kawata	thin films	molecular dynamics	carbon nanotubes
Joo Kooi Tan	feature extraction	image registration	computed tomography
Josef Kittler	feature extraction	computer vision	pattern recognition
John H. Reif	computational complexity	parallel algorithm	computational geometry
Helen M. Edwards	software engineering	software development process	system analysis
Satchidananda Dehuri	soft computing	data mining	multi objective optimization
Bill Triggs	feature extraction	computer vision	support vector machine
Christophe Bidan	distributed systems	routing protocol	intrusion detection
Liselott Brunnberg	mobile device	augmented reality	social interaction
German Montejano	web service	business process	software development process
Ricardo Moraes	wireless sensor network	communication protocol	data fusion
An Nguyen	wireless sensor network	statistical machine translation	word sense disambiguation
Björn Bringmann	artificial intelligence	big data	machine learning
Miguel Arevalillo-Herráez	image retrieval	knowledge representation	intelligent tutoring system
Guido Sautter	database	query optimization	digital library
Shahab Mokarizadeh	social network	recommender system	ontology
Clifford A. Pickover	computer graphics	dynamical system	visualization
Pierangela Samarati	cryptography	access control	privacy
Gabriel Baum	software engineering	software system	formal specification
Dejing Dou	artificial intelligence	data mining	data integration
Eckehard Schnieder	control system	petri net	hybrid system
Laura Marie Leventhal	user interface	human computer interaction	software testing
Dinesh Manocha	computer graphics	geometric modeling	motion planning
Yashwant K. Malaiya	computer science	software system	software testing
Zhijun He	fault tolerance	expert system	data integration
Mihai Barbuceanu	multi agent system	enterprise modeling	enterprise architecture
Jia-Lang Seng	data mining	information retrieval	database
Antonello Monti	kalman filter	nonlinear control	state estimation
Kieran Mathieson	information system	information technology	decision support system
Blaine Price	software engineering	human computer interaction	computing education
Gina-Anne Levow	information retrieval	speech recognition	machine translation
Ratul Mahajan	wireless network	routing protocol	measurement
Achla Marathe	communication network	spatial data	electricity markets
Franjo Pernus	image segmentation	object recognition	image registration
Pengfei Zhu	data mining	feature extraction	computer vision
Siddharth Garg	sensor network	integrated circuit	fault detection
William E. Lorensen	computer vision	computer graphics	visualization
Xiaoyan Hong	routing protocol	ad hoc networks	mobile ad hoc networks
Alex C. Snoeren	wireless network	operating system	internet
Rob Aspin	computer graphics	image reconstruction	visualization
Claudio E. Palazzi	pattern recognition	mobile computing	internet
Ming-Hua Lin	global optimization	integer programming	engineering design
Marshall C. Yovits	information system	decision making	information science
Subhash Bhalla	web service	data management	distributed database
Peter Strazdins	data mining	parallel algorithm	performance analysis
Jinwen Tian	remote sensing	computer vision	pattern recognition
Tuan Trung Nguyen	computer graphics	simulation	virtualization
Pedro Melo-Pinto	neural networks	image segmentation	image processing
Anna Wilbik	natural language processing	fuzzy logic	computational linguistics
Mark Coeckelbergh	artificial intelligence	information technology	human robot interaction
Iasonas Polakis	social network	face recognition	intrusion detection
M. Felisa Verdejo	software engineering	collaborative learning	distance learning
Stefan Schiffer	mobile robot	speech recognition	fuzzy control
Alan H. Karp	distributed systems	parallel processing	access control
Virpi Kristiina Tuunainen	information system	mobile communication	electronic commerce
Hyesook Lim	data structure	internet	memory management
Qiheng Zhang	feature extraction	image segmentation	image registration
Lorenzo Donatiello	distributed systems	sensor network	parallel processing
Ashok K. Goel	artificial intelligence	case based reasoning	cognitive science
Xiaosheng Wu	image retrieval	gene expression	numerical simulation
John A. Lee	machine learning	artificial neural network	dimensionality reduction
Yvon Gardan	geometric modeling	solid modeling	computer aided design
Jörg H. Siekmann	artificial intelligence	logic programming	multi agent system
Steve Benford	human computer interaction	computer science	mixed reality
Manfred Krafczyk	finite element	numerical simulation	computational fluid dynamics
Boyun Zhang	neural networks	support vector machine	computational model
Jerry L. Potter	computer science	data structure	parallel processing
Dugki Min	computer science	web service	middleware
Khin Than Win	information security	privacy	computer science education
Houfeng Wang	machine learning	natural language processing	sentiment analysis
Joseph Barjis	database design	business process modeling	enterprise modeling
Yoonseo Choi	computer science	embedded system	embedded systems design
Rafael García	knowledge management	software development	conceptual model
Youfu Li	feature extraction	image segmentation	image reconstruction
Ching-Hao Mao	sensor network	intrusion detection	cloud security
Luiz Angelo Steffenel	grid computing	parallel algorithm	performance modeling
Nguyen-Thinh Le	multi agent system	logic programming	evaluation
Josu Maiora	medical imaging	artificial intelligence	machine learning
Claire Cardie	natural language processing	computational linguistics	computational social science
Robert N. Lass	multi agent system	software agent	mobile ad hoc networks
Niklas Blum	service oriented architecture	protocol	world wide web
P. Deepa Shenoy	data mining	wireless sensor network	neural networks
Maciej A. Mazurowski	machine learning	genetic algorithm	sensitivity analysis
Jarogniew Rykowski	computer science	internet of things	ad hoc networks
Shih-Lung Shaw	data mining	decision support system	geographic information system
Zhihong Deng	data mining	information retrieval	social network
Matthias Nickles	artificial intelligence	logic	machine learning
Giuseppina Gini	data mining	programming language	expert system
Hongyu Pei Breivold	cloud computing	software system	computer architecture
Toshio Okamoto	information system	internet	collaborative learning
Boqin Feng	data mining	information retrieval	support vector machine
Aline Senart	sensor network	semantic web	data integration
Eric Baumer	software system	user experience	autonomous agent
Kaijun Ren	data mining	web service	data structure
Welf Löwe	computer science	programming language	parallel program
Richard Frank	internet	database	social network analysis
Oskar Juhlin	mobile device	user experience	mobile application
Alexandre Mendes	feature selection	combinatorial optimization	integer programming
Michal Armoni	computer science	software engineering	computational model
Ranjan Pal	cyber security	privacy	smart grid
Mladen A. Vouk	computer science	cloud computing	software system
Riccardo Sisto	formal methods	communication protocol	software engineering
Parinya Chalermsook	computer science	computational complexity	approximation algorithm
Jeffrey Wong	engineering	machine learning	epidemiology
Jae Kwon Bae	data mining	neural networks	artificial intelligence
Sotirios P. Chatzis	computer science	computational model	hidden markov model
George G. Robertson	information retrieval	user interface	human computer interaction
Ken Abernethy	computer science	information technology	formal methods
Mary Jean Harrold	software engineering	software maintenance	software testing
R. C. Joshi	wireless sensor network	distributed systems	ad hoc networks
Dinshaw S. Balsara	optimization algorithm	computational physics	astrophysics
Haixun Wang	data management	knowledge engineering	natural language processing
Lianwen Jin	feature extraction	image segmentation	support vector machine
Vinaitheerthan Sundaram	reliability	program analysis	distributed systems
Yincui Hu	image processing	grid computing	data processing
Andrew D. Gordon	computer science	web service	cryptographic protocol
Djamshid Tavangarian	computer science	computer architecture	software architecture
André van der Hoek	software engineering	software architecture	software development
Oliver Pell	computational model	hardware	high performance computing
Stanley C. Ahalt	feature extraction	artificial neural network	anomaly detection
Sang-Ha Kim	wireless sensor network	routing protocol	access network
Yasuyuki Matsushita	computer vision	image reconstruction	finite element analysis
Zongxia Xie	data mining	feature selection	fuzzy set theory
Michael Nebeling	user interface	web application	web design
Arthur Berger	artificial intelligence	routing	overlay network
Te-Hua Wang	user interface	internet	information technology
Joohan Lee	data mining	distributed computing	cluster computing
Christoph Rensing	recommender system	network security	personal information management
Gerard R. Renardel de Lavalette	computer science	formal specification	query optimization
Werner C. Rheinboldt	nonlinear system	numerical method	differential equation
Éric Rutten	distributed systems	embedded system	formal verification
Pichaya Tandayya	assistive technology	parallel	distributed computing
Cian O'Mathuna	wireless sensor network	sensor network	wireless network
Pinyan Lu	complexity	algorithms	game theory
Byung Jun Kang	pattern recognition	face recognition	image restoration
Juan A. Fraile	wireless sensor network	multi agent system	service oriented architecture
Edward H. Shortliffe	artificial intelligence	knowledge base	health care
Carson C. Woo	information system	multi agent system	distributed applications
Richard M. Voyles	sensor network	mobile robot	artificial neural network
Idris A. Rai	wireless sensor network	computer network	human computer interaction
Shaomin Mu	anomaly detection	dynamic programming	intrusion detection
Wai-Mee Ching	software engineering	operating system	parallel processing
Yi-Sheng Zhu	mobile computing	signal processing	wireless communication
Sanaa Sharafeddine	mobile computing	wireless network	network security
Shang-Pin Ma	software engineering	petri net	conceptual model
Kai Keng Ang	brain computer interface	pattern recognition	machine learning
Xinzhou Wu	wireless network	operating system	scientific computing
Yuquan Chen	machine learning	carbon nanotubes	autonomous systems
Nicola Beume	neural networks	computer science	artificial intelligence
Kim K. Baldridge	grid computing	electronic structure	quantum chemistry
Ralf Seppelt	software engineering	artificial intelligence	decision support system
Uwe Nestmann	semantics	verification	concurrency
Ana M. Moreno	software design	knowledge engineering	intelligent computing
Clemens A. Szyperski	software engineering	web service	operating system
Basit Shafiq	data mining	software engineering	web service
Jaime G. Carbonell	machine learning	computer science	artificial intelligence
Sallie M. Henry	software maintenance	software quality	software metrics
Ramanathan V. Guha	semantic web	knowledge base	semantic search
Byeong Ho Kang	expert system	world wide web	social network
M. Rombaut	hidden markov model	activity recognition	sensor fusion
Marie-Claude Boudreau	information system	information technology	enterprise system
H. Fatih Ugurdag	fault tolerance	computational complexity	field programmable gate array
Magdalena Ortiz	artificial intelligence	knowledge representation	computational logic
Regunathan Radhakrishnan	data mining	feature extraction	time series
M. Shahriar Hossain	data mining	machine learning	parallel computing
Cecilia Zanni-Merk	machine learning	ontology	knowledge acquisition
Mihalis Yannakakis	algorithms	complexity	optimization
Yu-Cheng Liu	bioinformatics	mathematical model	optimal design
Jatinder N. D. Gupta	scheduling	enterprise system	supply chain management
Salim Roukos	information retrieval	speech recognition	natural language processing
Junghoo Cho	computer science	information retrieval	search engine
Visa Koivunen	signal processing	wireless communication	statistics
Christoph Strecha	feature extraction	computer vision	face recognition
Martin J. O'Connor	data mining	semantic web	software system
Manas Tungare	user interface	performance evaluation	personal information management
Zhuqing Li	web service	computer network	routing protocol
Takeshi Sakaki	artificial intelligence	web mining	natural language processing
Sandhya Kode	information technology	computer science education	engineering education
Betty H. C. Cheng	software engineering	model driven engineering	requirements engineering
Nikos Fakotakis	speech	image processing	artificial intelligence
Nick Benton	programming language	semantics	type systems
Yuantao Gu	compressed sensing	optimization	signal processing
Yazhou Huang	virtual reality	human computer interaction	motion planning
Guanfeng Liang	machine learning	distributed algorithms	coding theory
Eugenio Oliveira	artificial intelligence	software agent	multi agent system
Chih Lai	scientific computing	numerical analysis	fluid mechanics
Ronnie Alves	bioinformatics	machine learning	data mining
Roslinda Nazar	mathematics	fluid mechanics	heat transfer
Guoning Chen	scientific visualization	data analysis	computer graphics
Mayank Raj	cloud computing	wireless network	sensor network
Giandomenico Spezzano	cloud computing	internet of things	swarm intelligence
Ganesh Ramakrishnan	machine learning	information extraction	question answering
Hideki Yagi	information theory	coding theory	information security
Michael Steiner	computer security	cryptography	distributed systems
Renata Vieira	artificial intelligence	natural language processing	computational linguistics
Heorhiy Byelas	software architecture	high performance computing	bioinformatics
Armin Haller	semantic web	linked data	web service
Djamila Aouada	image processing	computer vision	pattern recognition
Liu Hsu	control system	robotics	adaptive control
Aws Albarghouthi	formal methods	software verification	program analysis
Dimitri Leemans	combinatorics	algebra	computational mathematics
Zhangzhang Si	computer vision	statistical model	machine learning
Nina Valkanova	human computer interaction	interaction design	information visualization
Muhammad Hamad Alizai	internet of things	sensor network	wireless sensor network
Danny Dig	software engineering	program analysis	parallel program
Chunhua Su	information security	cryptography	data mining
Anand Rajaram	algorithms	data mining	machine learning
Dana Fisman	formal verification	automata	games
Darren Gergle	human computer interaction	computer supported cooperative work	computer mediated communication
Seungwon Shin	network security	cloud computing	software defined networking
Tony Q. S. Quek	wireless communication	networking	security
Raghava Rao Mukkamala	computational social science	data mining	text mining
Mohammad Al Hasan	data mining	network analysis	bioinformatics
Kari Rönkkö	participatory design	interaction design	user experience
Leon Moonen	software engineering	software evolution	reverse engineering
Pak Chung Wong	visual analytics	data visualization	high performance computing
Bulent Tavli	wireless communication	networking	smart grid
Waqas Javed	information visualization	human computer interaction	visual analytics
Maksim Tsvetovat	social network analysis	agent based modeling	social media
Maria Vanina Martinez	artificial intelligence	database	knowledge representation
Ahmad Ghazal	optimization	e learning	cognitive science
Jagadeesh Jagarlamudi	artificial intelligence	natural language processing	information retrieval
Pietro Lovato	bioinformatics	topic modeling	gene expression
Mislav Grgic	image compression	image processing	video processing
George Tzanetakis	audio signal processing	machine learning	human computer interaction
Vincenzo Manca	bioinformatics	computational biology	discrete mathematics
Franck Pommereau	petri net	formal methods	model checking
Sven Hellbach	robotics	image processing	artificial intelligence
Janet Wiles	cognitive science	complex systems	evolutionary computation
Melanie Mitchell	artificial intelligence	machine learning	complex systems
Cathy Wu	bioinformatics	computational biology	proteomics
Hongxin Hu	security	privacy	access control
Grigori Sidorov	computational linguistics	natural language processing	artificial intelligence
Shigang Li	parallel computing	graphics processing units	machine learning
Yun Zheng	bioinformatics	computational biology	genomics
Anis Zarrad	virtual environment	wireless sensor network	software testing
Fuyuki Ishikawa	software engineering	service oriented computing	formal methods
Leszek Rutkowski	artificial intelligence	data mining	pattern recognition
Fabrizio Rossi	operations research	integer programming	optimization
Esa Hyytiä	networking	performance analysis	queueing theory
Michael Witbrock	artificial intelligence	natural language processing	machine learning
Sjaak Smetsers	programming language	theorem proving	model checking
Daisuke Mashima	information security	privacy	smart grid
Hernisa Kacorri	human computer interaction	natural language processing	crowdsourcing
Wenjing Rao	reliability	computer aided design	fault tolerance
David Dice	concurrency	operating system	transactional memory
Parham Aarabi	signal processing	image processing	human computer interaction
Daniel Diaz	security	multimedia	ubiquitous computing
James Kuffner	robotics	motion planning	computer graphics
Frank Hannig	compilers	parallel	high level synthesis
Preben Hansen	interaction design	human computer interaction	user centered design
Alessandro Bogliolo	wireless sensor network	embedded system	bioinformatics
Giovanni Gallo	image processing	computer graphics	pattern recognition
David G. Payne	astrophysics	high performance computing	parallel computing
Zaki Malik	cloud computing	semantic web	trust
Anne Marie Piper	human computer interaction	computer supported cooperative work	assistive technology
D. Newman	machine learning	topic modeling	text mining
Pierre Leone	networking	sensor	routing
Elio Damaggio	database	software verification	business process
Shucheng Yu	cyber security	privacy	cloud computing
Akshay Java	social media	natural language processing	machine learning
Claudio Cusano	computer vision	pattern recognition	biometrics
Hyuk Lim	wireless network	wireless sensor network	computer network
Carlotta Domeniconi	machine learning	data mining	clustering
Rainer Palm	fuzzy control	robotics	mobile robot
Chris Speed	digital media	design	internet of things
Björn Schuller	deep learning	multimedia	affective computing
David Wu	operations research	game theory	optimization
Ladislau Bölöni	human robot interaction	cognitive systems	autonomous agent
Nico Hochgeschwender	robotics	systems engineering	domain specific language
G. V. Uma	software engineering	social network	artificial intelligence
Vincenzo Moscato	multimedia	database	knowledge management
Diego Macrini	computer vision	social network	video surveillance
Alessandro Pinto	software architecture	artificial intelligence	computational logic
Karen Panetta	simulation	security	biomedical imaging
José Pedro Magalhães	programming language	functional programming	generic programming
Rwitajit Majumdar	visual analytics	educational technology	human computer interaction
Antonino Fiannaca	expert system	neural networks	bioinformatics
Ivan Rodero	parallel	distributed computing	high performance computing
Arnaud Blouin	computer science	software engineering	model driven engineering
Alexander Shoulson	artificial intelligence	games	simulation
Anselm Grundhöfer	computer vision	visual computing	augmented reality
Kamer Kaya	high performance computing	parallel algorithm	graph algorithms
Deepak Ravichandran	machine learning	question answering	natural language processing
Greg Hanneman	machine translation	computational linguistics	natural language processing
Kerstin Bunte	support vector machine	dimensionality reduction	machine learning
Naoaki Ono	bioinformatics	systems biology	artificial life
Mattia Monga	software engineering	computer security	computer science education
Sander Verdonschot	computational geometry	algorithms	data structure
Claudio Gentile	online learning	machine learning	theoretical computer science
Sergiu Nedevschi	image processing	feature extraction	image reconstruction
Sriram Lakshmanan	wireless sensor network	wireless network	protocol
Bing Xiang	natural language processing	machine translation	speech recognition
Damien Trentesaux	transportation	multi agent system	cyber physical systems
Elena Calude	complexity theory	automata theory	discrete mathematics
Sultan Aljahdali	artificial neural network	computer security	software testing
Volker Turau	distributed computing	distributed algorithms	fault tolerance
Viliam Lisý	artificial intelligence	game theory	network security
Sean Munson	privacy	social media	design
Hannes Nickisch	image reconstruction	compressed sensing	bayesian inference
Andrew Turpin	information retrieval	data structure	search engine
Christine A. Montgomery	information system	data management	query language
Gera Weiss	control theory	formal methods	software engineering
Reinhard Schauer	software engineering	software maintenance	object oriented programming
Yann Laurillau	feature extraction	user interface	mobile device
Andrew E. Santosa	distributed systems	multi agent system	formal specification
Shoujue Wang	neural networks	feature extraction	pattern recognition
Rajdeep K. Dash	wireless sensor network	machine learning	data fusion
Xiaohu Ge	wireless network	wireless communication	cellular network
D. K. Hammer	embedded system	software architecture	real time system
Haiying Wang	data mining	bioinformatics	genetics
Boris Vexler	optimal control	finite element	numerical solution
Hexin Chen	image segmentation	image reconstruction	video coding
Dominik Schmidt	user interface	mobile device	interaction technique
Dong Geun Jeong	wireless communication	cognitive radio	resource management
Ken Pier	user interface	computer graphics	digital library
Z. Y. Wu	thin films	global optimization	phase transition
Heiner Litz	user interface	parallel processing	computer architecture
Marcel Prastawa	image registration	magnetic resonance imaging	outlier detection
Myung-Ki Shin	internet	protocol	transport protocol
Maxime Wack	distributed systems	formal verification	petri net
Ketan Maheshwari	cloud computing	parallel processing	grid computing
Ranga Raju Vatsavai	data mining	knowledge discovery	statistical model
Sandra Martelli	software development	robotics	biomedical imaging
Faisal N. Abu-Khzam	parallel algorithm	graph theory	combinatorial optimization
Giuseppe Fenza	knowledge management	collaborative filtering	semantic web service
Paul Lalonde	computer graphics	data structure	control system
Eric W. Brown	neural networks	information retrieval	question answering
Qianni Deng	web service	grid computing	parallel program
Ioannis N. Athanasiadis	data mining	multi agent system	ontology
Haibin Cai	fault tolerance	ubiquitous computing	pervasive computing
Soo Ling Lim	social network	requirements engineering	systems engineering
Michael I. Miller	object recognition	medical imaging	diffusion tensor imaging
Simson L. Garfinkel	data mining	privacy	internet of things
Andrea Perego	data security	semantic web	e government
Siti Zaiton Mohd Hashim	reinforcement learning	particle swarm optimization	dimensionality reduction
John Lansdown	computer graphics	computer aided design	design
Daniel Rockmore	information theory	computer algebra	probability
Masami Konishi	neural networks	sensitivity analysis	vehicle routing
Siddhartha R. Dalal	machine learning	software system	software testing
Mark D. Wilkinson	semantic web	web service	data integration
Christof Leng	big data	computer network	computer systems
R. C. Sekar	intrusion detection	logic programming	anomaly detection
Ioannis Mavridis	web service	cloud computing	database
Jorge Luis Nicolas Audy	requirements engineering	risk management	software development process
Motohiko Matsuda	computer science	computer network	operating system
Yow-Tyng Nieh	scheduling algorithm	scheduling	logic synthesis
Lale Akarun	computer vision	gesture recognition	human computer interaction
Xiaoni Zhang	information system	knowledge management	empirical study
Yifei Dong	wireless sensor network	model checking	formal specification
Tim Todman	parallel processing	hardware	optimization
Henrik Ohlsson	psychology	cognitive science	machine learning
Andrew V. Goldberg	data structure	parallel algorithm	algorithms
Yu-Hen Hu	wireless sensor network	computational complexity	static analysis
Sangyong Han	web service	embedded system	natural language processing
Pinar Yolum	multi agent system	social network	privacy
Ratnesh Sharma	data mining	data analysis	energy efficiency
Xiaohong Hao	wireless sensor network	wavelet transform	fuzzy control
René Bühling	multi agent system	augmented reality	robotics
Ryszard S. Michalski	data mining	machine learning	genetic algorithm
Mark A. Ardis	software engineering	formal methods	systems engineering
Adrienne Porter Felt	security	mobile device	privacy
Tamer Ölmez	neural networks	genetic algorithm	image segmentation
A-Xing Zhu	fuzzy logic	remote sensing	geographic information system
Murat Sensoy	artificial intelligence	multi agent system	semantic web
Sundar Vishwanathan	combinatorics	algorithms	combinatorial optimization
Jesse H. Poore	software engineering	formal specification	software quality
Leopoldo E. Bertossi	semantic web	computational complexity	logic programming
Laura Barbulescu	genetic algorithm	heuristic search	scheduling problem
Andrzej Buller	neural networks	fuzzy set	cellular automata
Ya-Fu Peng	nonlinear system	control system	adaptive control
Rossana Simeoni	social network	user experience	interactive system
Mohammad Reza Bonyadi	genetic algorithm	particle swarm optimization	optimization
Catherine E. Houstis	distributed systems	database	performance evaluation
Diane J. Litman	machine learning	speech recognition	natural language processing
Mark D. Plumbley	neural networks	signal processing	data storage
Adrian A. Hopgood	genetic algorithm	artificial intelligence	artificial neural network
Shaochun Zhong	software architecture	knowledge discovery	intelligent tutoring system
Shuo Guo	wireless sensor network	sensor network	wireless network
David Haussler	genomics	computer science	molecular biology
Gwangil Jeon	wireless sensor network	embedded system	fault tolerance
Nilton Bila	distributed systems	cloud computing	mobile computing
Kai S. Koong	information system	information technology	information security
Antoine Spicher	dynamical system	cellular automata	systems biology
Gilles Roussel	wireless sensor network	functional programming	functional language
Marcelo Gattass	computer graphics	image processing	computer vision
Mohammad Nurul Huda	feature extraction	speech recognition	hidden markov model
Rachid Alami	robotics	human robot interaction	motion planning
Wolfgang Klas	computer science	information system	database
Roland H. Untch	software engineering	software maintenance	software testing
J. Christopher Ramming	software engineering	empirical study	reactive system
Andy Bavier	operating system	routing protocol	transport protocol
Vu Ha	business process management	information system	conceptual model
Yuki Igarashi	genetic algorithm	computer graphics	visualization
P. Deepak	information retrieval	internet	middleware
